source	loc	bytes	preparation_ms	scan_ms	resolution_ms	total_ms	status
CBACT01C.cbl	430	17450	29.378	0.000	0.000	45.146	ERROR
CBPAUP0C.cbl	386	14832	29.365	13.874	0.518	43.763	OK
CBSTM03A.CBL	924	35574	34.547	13.334	1.260	49.142	OK
COACCT01.cbl	620	50220	51.594	8.637	0.612	60.851	PARTIAL
COACTUPC.cbl	4236	182463	91.913	0.000	0.000	108.450	ERROR
COCRDSLC.cbl	887	71308	33.515	0.000	0.000	37.992	ERROR
COPAUS1C.cbl	604	23000	28.371	0.000	0.000	33.561	ERROR
COTRTLIC.cbl	2098	85529	41.833	0.000	0.000	47.565	ERROR
COTRTUPC.cbl	1702	137862	34.099	0.000	0.000	38.487	ERROR
COUSR01C.cbl	299	12571	13.144	0.000	0.000	15.565	ERROR
