source	loc	bytes	preparation_ms	scan_ms	resolution_ms	total_ms	status
CBACT01C.cbl	430	17450	19.906	14.659	1.369	35.934	OK
CBPAUP0C.cbl	386	14832	19.749	14.708	0.566	35.030	OK
CBSTM03A.CBL	924	35574	24.505	14.262	0.254	39.021	OK
COACCT01.cbl	620	50220	48.686	5.176	0.245	54.118	PARTIAL
COACTUPC.cbl	4236	182463	87.906	19.122	0.104	107.135	PARTIAL
COCRDSLC.cbl	887	71308	28.001	6.195	0.081	34.277	PARTIAL
COPAUS1C.cbl	604	23000	25.349	5.442	0.156	30.949	PARTIAL
COTRTLIC.cbl	2098	85529	35.326	11.320	0.158	46.805	PARTIAL
COTRTUPC.cbl	1702	137862	22.987	6.543	0.080	29.611	PARTIAL
COUSR01C.cbl	299	12571	11.011	2.982	0.109	14.103	PARTIAL
