source	loc	bytes	preparation_ms	scan_ms	resolution_ms	total_ms	status
CBACT01C.cbl	430	17450	32.473	17.222	4.531	54.226	OK
CBPAUP0C.cbl	386	14832	28.671	20.291	0.531	49.504	OK
CBSTM03A.CBL	924	35574	31.758	22.885	0.282	54.926	OK
COACCT01.cbl	620	50220	54.669	4.646	0.221	59.543	PARTIAL
COACTUPC.cbl	4236	182463	88.651	21.190	0.143	109.986	PARTIAL
COCRDSLC.cbl	887	71308	32.852	5.168	0.091	38.113	PARTIAL
COPAUS1C.cbl	604	23000	27.507	7.860	0.156	35.525	PARTIAL
COTRTLIC.cbl	2098	85529	45.808	13.769	0.177	59.756	PARTIAL
COTRTUPC.cbl	1702	137862	28.632	7.499	0.093	36.226	PARTIAL
COUSR01C.cbl	299	12571	17.091	2.885	0.092	20.070	PARTIAL
