source	loc	bytes	preparation_ms	scan_ms	resolution_ms	total_ms	status
CBACT01C.cbl	430	17450	22.343	14.356	0.983	37.683	OK
CBPAUP0C.cbl	386	14832	21.581	13.892	0.396	35.875	OK
CBSTM03A.CBL	924	35574	24.450	14.967	0.187	39.605	OK
COACCT01.cbl	620	50220	48.292	5.166	0.217	53.683	PARTIAL
COACTUPC.cbl	4236	182463	85.680	18.634	0.099	104.415	PARTIAL
COCRDSLC.cbl	887	71308	45.954	6.262	0.103	52.321	PARTIAL
COPAUS1C.cbl	604	23000	34.859	6.971	0.147	41.979	PARTIAL
COTRTLIC.cbl	2098	85529	45.938	8.376	0.088	54.403	PARTIAL
COTRTUPC.cbl	1702	137862	29.840	7.569	0.106	37.517	PARTIAL
COUSR01C.cbl	299	12571	14.883	2.714	0.092	17.690	PARTIAL
