source	loc	bytes	preparation_ms	scan_ms	resolution_ms	total_ms	status
CBACT01C.cbl	430	17450	21.183	19.625	0.699	41.507	OK
CBPAUP0C.cbl	386	14832	20.758	18.718	0.362	39.843	OK
CBSTM03A.CBL	924	35574	27.205	19.966	0.210	47.381	OK
COACCT01.cbl	620	50220	39.935	8.307	0.170	48.418	PARTIAL
COACTUPC.cbl	4236	182463	82.177	47.351	0.102	129.633	PARTIAL
COCRDSLC.cbl	887	71308	35.883	25.837	0.135	61.858	PARTIAL
COPAUS1C.cbl	604	23000	32.813	36.553	0.094	69.462	PARTIAL
COTRTLIC.cbl	2098	85529	46.016	22.073	0.113	68.203	PARTIAL
COTRTUPC.cbl	1702	137862	22.151	10.791	0.087	33.031	PARTIAL
COUSR01C.cbl	299	12571	8.870	5.102	0.080	14.054	PARTIAL
